"businessservice","business","tenantid","uuid","geturi","posturi","createdby","createdtime","lastmodifiedby","lastmodifiedtime","businessservicesla"
"PQM","pqm","pg.citya","9b0e880c-5293-47d6-b9bb-f4a250884577",NULL,NULL,"5130f2e3-efc1-401a-94fb-b9e60d9fa17d","1746620493337","5130f2e3-efc1-401a-94fb-b9e60d9fa17d","1746620493337","432000000"
"FSM_POST_PAY_SERVICE","fsm","pg","a35da505-55ef-4bf0-a52c-48a086d20d73",NULL,NULL,"11b0e02b-0145-4de2-bc42-c97b96264807","1744197648205","11b0e02b-0145-4de2-bc42-c97b96264807","1744197648205","172800000"
"PAY_LATER_SERVICE","fsm","pg.citya","a511d0e1-b7eb-44b2-9a66-6f6e76d65ec3",NULL,NULL,"5130f2e3-efc1-401a-94fb-b9e60d9fa17d","1746620274309","5130f2e3-efc1-401a-94fb-b9e60d9fa17d","1746620274309","172800000"
"FIRE_NOC_SRV","noc-services","pg","a5d1baa4-6d6b-4fe9-830d-21b08c2f0b1b",NULL,NULL,"1723f919-bcce-4f6f-a135-4757075c5c27","1745170615341","1723f919-bcce-4f6f-a135-4757075c5c27","1745170615341","5184000000"
"PT.MUTATION","PT","pg.citya","a7b81d5f-d1b4-4b76-8310-db1bd42a76d7",NULL,NULL,"3709110a-4b1d-49a4-b639-95b689a86aa5","1743506463523","c8d9141d-b3f3-41e3-bc1f-649af40dee6a","1747221963724","2160000000"
"PAY_LATER_SERVICE","fsm","pg","abf08b04-abe9-4164-9b7d-a0848be4e5c6",NULL,NULL,"5130f2e3-efc1-401a-94fb-b9e60d9fa17d","1744197634808","5130f2e3-efc1-401a-94fb-b9e60d9fa17d","1744197634808","172800000"
"NewSW1","sw-services","pg.citya","ad41ee60-a3ca-4783-92c9-6f83668401dc",NULL,NULL,"d14f1116-6b07-4345-9db9-820d2e85daa0","1750331517050","d14f1116-6b07-4345-9db9-820d2e85daa0","1750331517050","259200000"
"mukta-estimate","estimate-service","pg","b2187912-ae23-48a6-a3a9-d6fcf4dda8db",NULL,NULL,"b43b260c-f620-45d3-a43f-f53148f87f15","1759748291264","b43b260c-f620-45d3-a43f-f53148f87f15","1759748291264","432000000"
"PGR","pgr-services","pg","b343dcef-68f1-4a86-9825-d1b7d458cd44",NULL,NULL,"a4a0d5a5-2edc-4c3d-bf97-5fdd1f88cbaa","1743096378513","a4a0d5a5-2edc-4c3d-bf97-5fdd1f88cbaa","1743096378513","432000000"
"ModifyWSConnection","ws-services","pg.citya","b3790f2c-d0ac-4244-b74d-7b8a3224460a",NULL,NULL,"d14f1116-6b07-4345-9db9-820d2e85daa0","1750331424350","d14f1116-6b07-4345-9db9-820d2e85daa0","1750331424350","259200000"
"STRUCTURALENGINEER","BPAREG","pg.citya","b76082e4-40b1-43aa-9434-17b243e16618",NULL,NULL,"3709110a-4b1d-49a4-b639-95b689a86aa5","1743501511811","c8d9141d-b3f3-41e3-bc1f-649af40dee6a","1747302921144","0"
"BPA_LOW","bpa-services","pg.citya","bb95d434-7e8a-4406-9db5-418ed4c6c6e0",NULL,NULL,"3709110a-4b1d-49a4-b639-95b689a86aa5","1743501511811","c8d9141d-b3f3-41e3-bc1f-649af40dee6a","1747227433277","5184000000"
"PT.UPDATE","PT","pg.citya","c0123d81-115e-4e80-9307-51d20500d5f9",NULL,NULL,"3709110a-4b1d-49a4-b639-95b689a86aa5","1743506463523","c8d9141d-b3f3-41e3-bc1f-649af40dee6a","1747296696098","20"
"NewWS1","ws-services","pg.citya","c7848f64-b6ca-4c61-9459-3e4788a4aaeb",NULL,NULL,"d14f1116-6b07-4345-9db9-820d2e85daa0","1750331394335","d14f1116-6b07-4345-9db9-820d2e85daa0","1750331394335","259200000"
"BUILDER","BPAREG","pg","cc572490-fe84-4e1a-b7a8-c91709e66ef6",NULL,NULL,"1723f919-bcce-4f6f-a135-4757075c5c27","1744621746981","c8d9141d-b3f3-41e3-bc1f-649af40dee6a","1747303115855","0"
"BPA_LOW","bpa-services","pg","d027138a-517e-4a03-a2ca-d471c093b171",NULL,NULL,"1723f919-bcce-4f6f-a135-4757075c5c27","1744621900491","c8d9141d-b3f3-41e3-bc1f-649af40dee6a","1747300294366","5184000000"
"ENGINEER","BPAREG","pg","d2a3600e-80c2-4333-ab49-e0c3fc5ddf93",NULL,NULL,"1723f919-bcce-4f6f-a135-4757075c5c27","1744621953667","c8d9141d-b3f3-41e3-bc1f-649af40dee6a","1747302990941","0"
"PQM","pqm","pg","d353ce5f-ab8d-4523-bb12-e50343095cd7",NULL,NULL,"5130f2e3-efc1-401a-94fb-b9e60d9fa17d","1744197760141","5130f2e3-efc1-401a-94fb-b9e60d9fa17d","1744197760141","432000000"
"WS.AMENDMENT","WS","pg","d7f70200-e91c-405d-88a3-92969fae5b9f",NULL,NULL,"1723f919-bcce-4f6f-a135-4757075c5c27","1745170721050","1723f919-bcce-4f6f-a135-4757075c5c27","1750320275276","0"
"BPA","bpa-services","pg","da95f7f1-812d-46d4-bfa6-ad93e3c983e6",NULL,NULL,"1723f919-bcce-4f6f-a135-4757075c5c27","1744621912674","c8d9141d-b3f3-41e3-bc1f-649af40dee6a","1747300462548","5184000000"
"FSM_VEHICLE_TRIP","vehicle","pg","dec743c4-5594-4884-b006-009cb33a1830",NULL,NULL,"3903e096-3b9f-43a5-b5f0-4c37079d6cd5","1744197691155","3903e096-3b9f-43a5-b5f0-4c37079d6cd5","1744197691155","172800000"
"TOWNPLANNER","BPAREG","pg","e282afcd-f22c-4a48-b6d5-6d4945c93273",NULL,NULL,"1723f919-bcce-4f6f-a135-4757075c5c27","1744621925179","c8d9141d-b3f3-41e3-bc1f-649af40dee6a","1747299993886","0"
"FIRE_NOC_OFFLINE","noc-services","pg","e2da0963-ea85-4cf8-bf2a-bd0c217117a7",NULL,NULL,"1723f919-bcce-4f6f-a135-4757075c5c27","1745170635449","1723f919-bcce-4f6f-a135-4757075c5c27","1745170635449","5184000000"
"FSM_VEHICLE_TRIP","vehicle","pg.citya","e7d23620-da9f-44d4-8e27-870d2a143a96",NULL,NULL,"3903e096-3b9f-43a5-b5f0-4c37079d6cd5","1746620373694","3903e096-3b9f-43a5-b5f0-4c37079d6cd5","1746620373694","172800000"
"DisconnectWSConnection","ws-services","pg","e849a68d-93f0-4e6e-9694-451b1b1e32d5",NULL,NULL,"1723f919-bcce-4f6f-a135-4757075c5c27","1745170711814","1723f919-bcce-4f6f-a135-4757075c5c27","1750320234575","259200000"
"PT.CREATE","PT","pg","ea71ddec-05bc-432c-90a8-1c276b6d185e",NULL,NULL,"919f4168-223a-4ea9-8d27-9a9e27e672bd","1743070107121","c8d9141d-b3f3-41e3-bc1f-649af40dee6a","1747894463358","604800000"
"FIRE_NOC_SRV1","noc-services","pg.citya","ea74d6c5-5b34-410f-ba87-ac874dbab86b",NULL,NULL,"1723f919-bcce-4f6f-a135-4757075c5c27","1743485624550","1723f919-bcce-4f6f-a135-4757075c5c27","1743485624550","5184000000"
"FIRENOC","fireNoc","pg","ee9d1dbc-d6f1-4fd6-b91d-d67fd0e25b4d",NULL,NULL,"1723f919-bcce-4f6f-a135-4757075c5c27","1745170648438","1723f919-bcce-4f6f-a135-4757075c5c27","1745170648438","172800000"
"DIRECTRENEWAL","tl-services","pg.citya","f72c4a22-ef79-4d3e-a9f0-774a63b67e8a",NULL,NULL,"1723f919-bcce-4f6f-a135-4757075c5c27","1743484407631","c8d9141d-b3f3-41e3-bc1f-649af40dee6a","1747222194863","172800000"
"PT.MUTATION","PT","pg","f7329b4a-c3cf-4587-9ffa-e439bf8d9c58",NULL,NULL,"919f4168-223a-4ea9-8d27-9a9e27e672bd","1743070107121","c8d9141d-b3f3-41e3-bc1f-649af40dee6a","1747291928326","2160000000"
"PGR","pgr-services","pg.citya","fece7167-03f8-4622-8be2-ebc75ad94f79",NULL,NULL,"a4a0d5a5-2edc-4c3d-bf97-5fdd1f88cbaa","1743096883293","a4a0d5a5-2edc-4c3d-bf97-5fdd1f88cbaa","1743096883293","432000000"
